id,ncbi_taxon_id,gbif_taxon_id,ncbi_canonical_name,gbif_canonical_name,gbif_synonyms_ids,gbif_synonyms_names,ncbi_synonyms_names
478,,4382699,,Myra pernix,,,
479,,4382709,,Myra elegans,,,
480,,8599120,,Myra subcarinata,,,
481,,8474175,,Myra arachnoides,,,
482,,12244665,,Myra gurii,,,
483,,4382703,,Myra grandis,,,
484,,4382704,,Myra currax,,,
485,,5968936,,Myra hainanica,,,
486,,5968933,,Myra eudactylus,4644307; 4644306; 5968934,Myrodes gigas; Myrodes eudactylus; Myra dilatimanus,
487,2584448,5969249,Hiplyra platycheir,Hiplyra platycheir,5799040; 5731476,Philyra platycheir; Philyra platychira,
488,,5969242,,Hiplyra michellinae,,,
489,,5969246,,Hiplyra elegans,6458884; 5969247,Philyra variegata elegans; Philyra elegans,
490,,8732836,,Hiplyra ramli,,,
491,,5969248,,Hiplyra sagitta,,,
492,,5969243,,Hiplyra longimana,5799036,Philyra longimana,
493,,5969244,,Hiplyra variegata,5731473; 11094904,Philyra variegata; Myra variegata,
494,3114380,5968837,Atlantophila cristata,Atlantophila cristata,5731474,Philyra cristata,Philyra cristata
495,2584459,5969033,Soceulia alainia,Soceulia alainia,,,
496,2584460,5969034,Soceulia major,Soceulia major,5731463,Leucosia major,
497,,5969035,,Soceulia brunnea,5969036; 5731459,Leucosia brunnea; Leucosia singaporensis,
498,,5969032,,Soceulia marmorea,7565697; 5731469,Leucosia marmorea; Leucosia marmorea,
499,2584457,5969131,Seulocia vittata,Seulocia vittata,5969132; 5969133,Leucosia sinica; Leucosia vittata,
500,2584456,5969134,Seulocia pulchra,Seulocia pulchra,5969135,Leucosia pulchra,
501,2584455,5969128,Seulocia latirostrata,Seulocia latirostrata,5969129,Leucosia latirostrata,
502,,8473913,,Seulocia gagulae,,,
503,,5969124,,Seulocia cristata,,,
504,,5969130,,Seulocia crepuscula,,,
505,,5969137,,Seulocia anahita,,,
506,,5969136,,Seulocia laevimana,10923821,Leucosia craniolaris laevimana,
507,,5969138,,Seulocia truncata,5969139,Leucosia truncata,
508,,5969125,,Seulocia rhomboidalis,5969127,Leucosia maculata,
509,,5969122,,Seulocia pubescens,5799017; 5969123; 5968909,Leucosia pubescens; Pseudophilyra hoedtii; Pseudophilyra pubescens,
510,3114011,4382622,Merocryptus boletifer,Merocryptus boletifer,,,
511,2559868,2221826,Merocryptus lambriformis,Merocryptus lambriformis,5969172,Ebalia rugosa,
512,,8587312,,Merocryptus altavillensis,,,
513,,4382623,,Merocryptus obsoletus,,,
514,,12212151,,Merocryptus harenae,,,
515,,12230880,,Merocryptus barnardi,5969090; 5968796; 9216049,Ebalia barnardi; Lithadia barnardi; Merocryptus boletisculpta,
516,,12202660,,Merocryptus tuberculata,4382645,Ebalia tuberculata,
517,3342113,5968981,Ihleus lanatus,Ihleus lanatus,5968982,Randallia lanata,
518,,5968983,,Ihleus villosus,5968984,Randallia villosa,
519,6802,2221779,Iliacantha subglobosa,Iliacantha subglobosa,,,Longfinger purse crab
520,2799776,2221781,Iliacantha liodactylus,Iliacantha liodactylus,,,
521,1240035,,Iliacantha hancocki,,,,
522,,5968853,,Iliacantha schmitti,,,
523,,11437578,,Iliacantha panamica,,,
524,,2221780,,Iliacantha sparsa,,,
525,2584439,5968926,Coleusia urania,Coleusia urania,4644189; 5731461,Cancer urania; Leucosia urania,
526,1565490,4382673,Coleusia biannulata,Coleusia biannulata,5968930; 5731458,Leucosia longifrons neocaledonia; Leucosia biannulata,
527,,8195092,,Coleusia huilianae,,,
528,,9307580,,Coleusia janani,,,
529,,4382672,,Coleusia rangita,,,
530,,5968929,,Coleusia magna,5799027,Leucosia magna,
531,,4382675,,Coleusia signata,9061065; 5968928,Leucosia signata; Leucosia fuscomaculata,
532,1349633,2221767,Nucia speciosa,Nucia speciosa,10993447; 5969177,Ebalia spec; Ebalia pfefferi,
533,2790769,,Unclassified nucia,,,,
534,,8531674,,Nucia fennemai,,,
535,,8457078,,Nucia coxi,,,
536,,5969178,,Nucia tuberculosa,,,
537,,5969173,,Nucia rosea,,,
538,,8538071,,Nucia calculoides,,,
539,,8669595,,Nucia borneoensis,,,
540,,8662510,,Nucia platyspinosa,,,
541,,5969179,,Nucia bouvieri,,,
542,,4382631,,Nucia ingens,5969180,Heteronucia ingens,
543,,4382632,,Nucia pulchella,5969174,Ebalia pulchella,
544,,5969175,,Nucia miliaris,5969176,Ebalia miliaris,
545,,8617930,,Nucia baripadensis,12300881,Nursia baripadensis,
546,2858095,,Leucosiidae sp. usnm 1467423,,,,
547,,5968801,,Onychomorpha lamelligera,,,
548,,11659208,,Alcolyra alcocki,5969004,Philyra alcocki,
549,,4382630,,Toru septimus,,,
550,,12172825,,Toru gilberti,2221788,Randallia gilberti,
551,,5969256,,Toru granuloides,5969257,Randallia granuloides,
552,,5969254,,Toru trituberculatus,5969255,Randallia trituberculata,
553,,5969252,,Toru mesjatzevi,5969253,Randallia mesjatzevi,
554,,5969250,,Toru pilus,5969251,Randallia pila,
555,,5969114,,Heterolithadia fallax,5969115,Ebalia fallax,
556,,12189775,,Ristoria pliocaenica,8446046; 8630465,Ilia pliocaenica; Ilia pliocenica,
557,,5969225,,Praosia punctata,,,
558,,8622516,,Typilobus kishimotoi,,,
559,,8572476,,Typilobus modregoi,,,
560,,8545714,,Typilobus semseyanus,,,
561,,8657799,,Typilobus alponensis,,,
562,,8674303,,Typilobus marginatus,,,
563,,8606521,,Typilobus unispinatus,,,
564,,8450032,,Typilobus belli,,,
565,,8542418,,Typilobus granulosus,,,
566,,8654292,,Typilobus trispinosus,,,
567,,8495163,,Typilobus obscurus,,,
568,,5969117,,Afrophila punctata,5969118,Philyra punctata,
569,,4644360,,Leucisca levigena,,,
570,,10278933,,Leucisca halimedophila,,,
571,,5969238,,Leucisca squalina,5969239; 5969240,Carcinaspis marginatus; Leucisca phaenomma,
572,,5969241,,Leucisca rubifera,4377407,Nursia rubifera,
573,,5969193,,Ebaliopsis viadieri,,,
574,,4377362,,Ebaliopsis erosa,4382655; 5969194,Ebalia erosa; Phlyxia erosa,
575,,4644421,,Cateios frontalis,4644302,Oreophorus frontalis,
576,,8611142,,Gemmacarcinus fossatus,,,
577,,7955165,,Bellidilia undecimspinosa,9156533; 5799041; 4644395,Bellidilia serrato-costis; Philyra murrayensis; Phlyxia orbicularis,
578,,4644419,,Bellidilia laevis,5799037,Philyra laevis,
579,,5969229,,Bellidilia cheesmani,11355508; 11062882,Phlyxia cheesmani; Phlyxia spec,
580,,5969063,,Myrine acutidens,5969064; 4382628,Myra acutidens; Myra kessleri acutidens,
581,,4644412,,Myrine kesslerii,4644309; 4382625; 4382626; 10927136; 5731453,Myra darnleyensis; Callidactylus kessleri; Myra kessleri; Myra spec; Myrene kessleri,
582,,5968823,,Merocryptoides peteri,,,
583,,5968821,,Merocryptoides ohtsukai,,,
584,,5968822,,Merocryptoides frontalis,,,
585,,4377387,,Oreophorus horridus,,,
586,,5968978,,Oreophorus crosnieri,,,
587,,5968980,,Oreophorus alcicornis,11109231,Oreophorus reticulatus alcicornis,
588,,5968979,,Oreophorus holthuisi,,,
589,,5968977,,Oreophorus fenestrus,,,
590,,4377388,,Oreophorus reticulatus,,,
591,,12181120,,Ixoides shuishuni,,,
592,,5968838,,Orientotlos iishibai,,,
593,,12171037,,Orientotlos flos,,,
594,,4382617,,Atlantotlos rhombifer,,,
595,,5968925,,Atlantolocia laevidorsalis,5731479,Philyra laevidorsalis,
596,,8557928,,Coralliocryptus caementa,,,
597,,4644393,,Phlyxia crassipes,4644402,Ebalia crassipes,
598,,4644397,,Phlyxia lambriformis,,,
599,,5969030,,Nuciops modestus,5969031,Nucia modesta,
